players,assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage,kd_ratio,damage_per_match,headshots_per_match,kills_per_match,,
522,1902,1132195,3003,silver,913,6452,378,5910,1225353,17.07,207.34,0.51,1.09,,
523,1898,1271352,3404,silver,1090,6868,421,6529,1326510,16.31,203.17,0.52,1.05,,
524,1890,1295606,2846,silver,1012,6215,436,6888,1112768,14.25,161.55,0.41,0.90,,
525,1884,1248493,3638,silver,1134,6498,401,6611,1212051,16.20,183.34,0.55,0.98,,
526,1884,1144680,4030,silver,1141,6653,372,5962,1288482,17.88,216.12,0.68,1.12,,
527,1882,1137109,4030,silver,994,6057,353,5912,1117493,17.16,189.02,0.68,1.02,,
528,1882,1250732,3835,silver,1025,6650,407,6364,1269401,16.34,199.47,0.60,1.04,,
529,1881,1133561,3446,gold,1036,6323,370,5832,1221650,17.09,209.47,0.59,1.08,,
530,1871,1637963,5573,silver,1503,7918,500,8348,1516338,15.84,181.64,0.67,0.95,,
531,1855,1135817,3806,silver,903,6930,414,5798,1285504,16.74,221.72,0.66,1.20,,
532,1852,1326444,3694,silver,1003,6420,441,6712,1224301,14.56,182.40,0.55,0.96,,
533,1840,1160118,3988,silver,1042,5801,402,6094,1060011,14.43,173.94,0.65,0.95,,
534,1839,1239186,4054,silver,1226,6428,404,6508,1230901,15.91,189.14,0.62,0.99,,
535,1836,1305834,3713,silver,1123,7350,443,6717,1367094,16.59,203.53,0.55,1.09,,
536,1820,1107817,2825,silver,808,5609,372,5851,1099490,15.08,187.91,0.48,0.96,,
537,1816,1283076,3664,silver,1046,7033,420,6568,1304425,16.75,198.60,0.56,1.07,,
538,1810,1193596,4014,silver,1158,6302,410,6373,1200618,15.37,188.39,0.63,0.99,,
539,1795,1110978,2754,bronze,953,5650,403,5749,1083233,14.02,188.42,0.48,0.98,,
540,1790,1106488,3544,silver,916,5766,364,5757,1082082,15.84,187.96,0.62,1.00,,
541,1781,1127643,3427,silver,1096,5691,360,6009,1108113,15.81,184.41,0.57,0.95,,
542,1780,1168387,4198,silver,1026,5938,394,5982,1114639,15.07,186.33,0.70,0.99,,
543,1780,1251506,4117,silver,1145,6582,395,6473,1261516,16.66,194.89,0.64,1.02,,
544,1779,1114965,3425,silver,865,5545,398,5911,1071019,13.93,181.19,0.58,0.94,,
545,1769,1138126,3663,silver,1097,5424,371,6006,1071264,14.62,178.37,0.61,0.90,,
546,1750,1142562,3210,silver,951,5920,400,5971,1087026,14.80,182.05,0.54,0.99,,
547,1744,1133623,3571,silver,1012,6021,368,5879,1101192,16.36,187.31,0.61,1.02,,
548,1730,1214494,3739,silver,979,6022,375,6001,1159662,16.06,193.24,0.62,1.00,,
549,1719,1377906,5700,gold,1287,8771,465,6988,1664357,18.86,238.17,0.82,1.26,,
550,1714,1169850,3347,silver,909,5811,358,5795,1097811,16.23,189.44,0.58,1.00,,
551,1704,1290245,5152,silver,1231,7446,438,6894,1430212,17.00,207.46,0.75,1.08,,
552,1673,1249419,4500,silver,1151,6536,408,6443,1244319,16.02,193.13,0.70,1.01,,
553,1672,1132302,3654,silver,1015,5576,370,5967,1080687,15.07,181.11,0.61,0.93,,
554,1653,1287961,3925,silver,1108,7275,454,6920,1346189,16.02,194.54,0.57,1.05,,
555,5032,2569575,5087,gold,2967,10600,759,14404,2041020,13.97,141.70,0.35,0.74,,
556,4431,2402970,6065,gold,2299,9789,744,12401,1884430,13.16,151.96,0.49,0.79,,
557,4416,1651069,3405,gold,1542,8906,598,8565,1581033,14.89,184.59,0.40,1.04,,
558,4314,2445411,8060,gold,2142,14516,872,12602,2706960,16.65,214.80,0.64,1.15,,
559,4289,2146829,3748,gold,2018,9158,658,11030,1858291,13.92,168.48,0.34,0.83,,
